centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	latitude	longitude	prop_urban
gower	NA	g210	owl	Tytonidae	Tyto alba	barn owl	NA	ad	21	4	2004	human	veh	c	51.694069	-3.731795	11.78343949
gower	NA	g211	owl	Strigidae	Strix aluco	tawny owl	NA	juv	1	5	2004	natural	orph	d	51.620699	-3.9384669	84.33519108
gower	NA	g212	owl	Strigidae	Strix aluco	tawny owl	NA	ad	3	5	2004	unknown	trauma	d	51.626436	-3.9719421	87.30095541
gower	NA	g213	owl	Strigidae	Strix aluco	tawny owl	NA	ad	6	5	2004	human	veh	d	51.732434	-3.7520874	26.17436306
gower	NA	g214	owl	Strigidae	Strix aluco	tawny owl	NA	ad	18	5	2004	human	veh	d	52.070462	-4.1373656	7.344745223
gower	NA	g215	owl	Strigidae	Strix aluco	tawny owl	NA	juv	19	5	2004	natural	orph	r	51.713187	-3.4488138	57.90207006
gower	NA	g216	owl	Strigidae	Strix aluco	tawny owl	NA	juv	19	5	2004	natural	orph	r	51.713187	-3.4488138	57.90207006
gower	NA	g217	owl	Strigidae	Strix aluco	tawny owl	NA	juv	21	5	2004	natural	orph	r	51.617947	-3.4428891	58.65843949
gower	NA	g218	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	23	5	2004	unknown	undet	d	51.69514	-3.8953435	55.63296178
gower	NA	g219	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	23	5	2004	unknown	trauma	d	52.415294	-4.082924	44.60004359
gower	NA	g22	owl	Strigidae	Strix aluco	tawny owl	NA	ad	1	7	2001	human	veh	r	52.074776	-4.6746152	15.48566879
gower	NA	g220	owl	Strigidae	Strix aluco	tawny owl	NA	juv	23	5	2004	natural	orph	r	51.586032	-4.0726829	7.583598726
gower	NA	g221	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	29	5	2004	unknown	undet	d	51.602563	-3.6546662	64.45063694
gower	NA	g222	owl	Strigidae	Strix aluco	tawny owl	NA	juv	31	5	2004	unknown	undet	d	NA	NA	NA
gower	NA	g223	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	5	6	2004	human	pers	r	51.624076	-4.0050688	63.03742038
gower	NA	g224	owl	Strigidae	Strix aluco	tawny owl	NA	juv	5	6	2004	unknown	trauma	d	NA	NA	NA
gower	NA	g225	owl	Strigidae	Strix aluco	tawny owl	NA	juv	15	6	2004	unknown	undet	r	51.547511	-4.2122808	4.8693086
gower	NA	g227	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	16	6	2004	unknown	undet	d	NA	NA	NA
gower	NA	g228	owl	Strigidae	Strix aluco	tawny owl	NA	ad	19	6	2004	human	pers	r	52.442809	-3.5565026	8.140923567
gower	NA	g229	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	22	6	2004	unknown	undet	d	51.773041	-3.2478162	54.43869427
gower	NA	g23	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	9	7	2001	human	veh	r	51.995193	-3.7987455	24.40286624
gower	NA	g230	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	23	6	2004	natural	infect	r	51.657145	-3.8532758	68.5111465
gower	NA	g231	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	25	6	2004	unknown	undet	d	51.956707	-3.7870166	2.109872611
gower	NA	g233	owl	Strigidae	Strix aluco	tawny owl	NA	ad	25	6	2004	human	veh	d	51.58403	-4.0841397	10.88773885
gower	NA	g234	owl	Strigidae	Strix aluco	tawny owl	NA	ad	2	7	2004	human	veh	d	51.819225	-4.3445565	6.38933121
gower	NA	g235	owl	Strigidae	Strix aluco	tawny owl	NA	ad	8	7	2004	human	veh	d	51.812471	-3.8683474	26.07484076
