centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	lat	long	buff_rad	prop_urban
gower	NA	g413	raptor	Accipitridae	Buteo buteo	buzzard	m	juv	30	9	2006	human	veh	r	51.640901	-3.856949	1000	39.94824841
gower	NA	g414	raptor	Accipitridae	Buteo buteo	buzzard	m	juv	9	10	2006	natural	metab	r	51.647715	-4.0422495	1000	50.5772293
gower	NA	g415	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	18	10	2006	unknown	undet	d	51.936928	-4.3041354	1000	8.180732484
gower	NA	g416	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	juv	22	10	2006	unknown	undet	d	51.946753	-3.3923106	1000	55.23487261
gower	NA	g417	owl	Strigidae	Strix aluco	tawny owl	NA	ad	22	10	2006	human	veh	d	51.595267	-3.7843407	1000	73.38773885
gower	NA	g418	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	23	10	2006	unknown	undet	d	51.686307	-4.1958951	1000	19.82484076
gower	NA	g419	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	28	10	2006	human	habitat	d	51.623898	-3.4705262	1000	28.68232484
gower	NA	g42	owl	Tytonidae	Tyto alba	barn owl	NA	ad	17	8	2001	human	veh	r	51.826917	-4.4523538	1000	1.532643312
gower	NA	g421	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	8	11	2006	unknown	undet	d	51.62998	-3.8651722	1000	25.79617834
gower	NA	g423	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	8	1	2007	unknown	trauma	r	51.720036	-3.2434609	1000	27.2093949
gower	NA	g425	raptor	Accipitridae	Accipiter nisus	sparrowhawk	m	juv	29	1	2007	natural	infect	d	51.60672	-4.171832	1000	8.300159236
gower	NA	g426	owl	Strigidae	Strix aluco	tawny owl	NA	ad	31	1	2007	human	veh	r	51.541424	-3.375576	1000	48.80573248
gower	NA	g427	raptor	Accipitridae	Buteo buteo	buzzard	f	juv	6	2	2007	natural	metab	r	51.766284	-3.7128197	1000	22.65127389
gower	NA	g428	raptor	Accipitridae	Accipiter nisus	sparrowhawk	m	juv	9	2	2007	unknown	undet	r	51.657145	-3.8532758	1000	68.5111465
gower	NA	g43	owl	Tytonidae	Tyto alba	barn owl	NA	ad	19	8	2001	unknown	trauma	d	51.882357	-3.9932966	1000	25.67675159
gower	NA	g430	owl	Tytonidae	Tyto alba	barn owl	NA	ad	12	2	2007	human	build	d	51.669305	-4.0417745	1000	82.94187898
gower	NA	g431	raptor	Accipitridae	Buteo buteo	buzzard	f	juv	13	2	2007	human	veh	d	51.995193	-3.7987455	1000	24.40286624
gower	NA	g432	raptor	Accipitridae	Accipiter nisus	sparrowhawk	m	ad	9	3	2007	unknown	trauma	d	51.637557	-3.9521924	1000	98.0294586
gower	NA	g433	owl	Strigidae	Strix aluco	tawny owl	NA	ad	10	3	2007	human	veh	d	51.756274	-4.6412515	1000	6.568471338
gower	NA	g435	raptor	Accipitridae	Milvus milvus	red kite	NA	ad	3	4	2007	unknown	trauma	r	51.714283	-4.040905	1000	59.19585987
gower	NA	g436	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	11	4	2007	human	veh	r	51.595267	-3.7843407	1000	73.38773885
gower	NA	g437	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	12	4	2007	natural	infect	d	51.556484	-4.1651093	1000	7.390936044
gower	NA	g439	owl	Strigidae	Strix aluco	tawny owl	f	ad	17	4	2007	unknown	trauma	d	51.60672	-4.171832	1000	8.300159236
gower	NA	g44	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	ad	20	8	2001	human	build	d	51.569499	-4.092133	1000	14.77036695
gower	NA	g440	raptor	Accipitridae	Accipiter nisus	sparrowhawk	m	ad	20	4	2007	unknown	trauma	d	51.720995	-3.8529906	1000	58.18073248
gower	NA	g441	raptor	Accipitridae	Accipiter nisus	sparrowhawk	m	ad	26	4	2007	human	pers	r	51.641675	-4.0275249	1000	55.15525478
gower	NA	g442	owl	Strigidae	Strix aluco	tawny owl	NA	juv	26	4	2007	natural	orph	c	51.785305	-3.8802732	1000	27.07006369
gower	NA	g443	owl	Strigidae	Strix aluco	tawny owl	NA	juv	26	4	2007	natural	orph	c	51.785305	-3.8802732	1000	27.07006369
gower	NA	g444	owl	Strigidae	Strix aluco	tawny owl	NA	ad	28	4	2007	human	veh	r	52.973961	-3.0885401	1000	26.59235669
gower	NA	g446	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	11	5	2007	unknown	undet	r	51.62193	-3.9182942	1000	56.13057325
gower	NA	g447	owl	Strigidae	Strix aluco	tawny owl	NA	ad	17	5	2007	human	veh	r	51.703101	-3.3124591	1000	13.45541401
gower	NA	g448	owl	Strigidae	Strix aluco	tawny owl	NA	juv	18	5	2007	unknown	undet	r	51.59425	-4.0138612	1000	40.68471338
gower	NA	g449	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	21	5	2007	natural	infect	d	51.57825	-3.2164957	1000	81.34952229
gower	NA	g45	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	ad	20	8	2001	human	build	r	51.640901	-3.856949	1000	39.94824841
gower	NA	g450	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	23	5	2007	human	veh	d	51.556484	-4.1651093	1000	7.390936044
gower	NA	g451	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	24	5	2007	unknown	trauma	d	51.851213	-4.3186298	1000	71.33757962
gower	NA	g452	owl	Strigidae	Strix aluco	tawny owl	NA	juv	27	5	2007	human	veh	d	51.532091	-3.6780608	1000	55.99124204
gower	NA	g453	owl	Strigidae	Strix aluco	tawny owl	NA	ad	30	5	2007	human	veh	r	51.736336	-4.3069488	1000	36.24601911
gower	NA	g454	owl	Strigidae	Strix aluco	tawny owl	NA	juv	2	6	2007	unknown	trauma	d	51.623898	-3.4705262	1000	28.68232484
gower	NA	g455	raptor	Falconidae	Falco peregrinus	peregrine falcon	m	ad	7	6	2007	human	pers	d	51.620699	-3.9384669	1000	84.33519108
gower	NA	g456	owl	Strigidae	Strix aluco	tawny owl	NA	juv	13	6	2007	unknown	undet	r	52.041135	-4.3094931	1000	19.82484076
gower	NA	g457	raptor	Falconidae	Falco peregrinus	peregrine falcon	NA	juv	19	6	2007	unknown	undet	r	51.432045	-3.1809595	1000	91.58841159
gower	NA	g458	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	20	6	2007	human	habitat	r	51.678838	-4.1622636	1000	93.15286624
gower	NA	g459	raptor	Falconidae	Falco peregrinus	peregrine falcon	m	juv	29	6	2007	unknown	trauma	d	51.595267	-3.7843407	1000	73.38773885
gower	NA	g46	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	ad	26	8	2001	unknown	trauma	d	51.635367	-4.1298468	1000	21.15843949
gower	NA	g460	raptor	Accipitridae	Accipiter gentilis	goshawk	m	ad	30	6	2007	unknown	trauma	d	51.804418	-3.9216822	1000	35.11146497
gower	NA	g461	raptor	Falconidae	Falco tinnunculus	common kestrel	m	juv	30	6	2007	unknown	trauma	r	51.618217	-3.9253602	1000	63.53503185
gower	NA	g462	owl	Strigidae	Strix aluco	tawny owl	NA	ad	30	6	2007	human	veh	d	51.678838	-4.1622636	1000	93.15286624
gower	NA	g463	owl	Tytonidae	Tyto alba	barn owl	m	juv	2	7	2007	natural	orph	r	51.713187	-3.4488138	1000	57.90207006
gower	NA	g464	owl	Strigidae	Athene noctua	little owl	NA	juv	4	7	2007	natural	orph	d	51.60899	-4.2889297	1000	2.220876237
gower	NA	g465	owl	Tytonidae	Tyto alba	barn owl	NA	juv	5	7	2007	unknown	undet	d	51.678838	-4.1622636	1000	93.15286624
gower	NA	g466	owl	Tytonidae	Tyto alba	barn owl	f	juv	5	7	2007	natural	orph	r	51.713187	-3.4488138	1000	57.90207006
gower	NA	g467	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	8	7	2007	unknown	trauma	d	51.668912	-3.9593251	1000	32.66892565
gower	NA	g468	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	11	7	2007	natural	orph	r	51.946753	-3.3923106	1000	55.23487261
gower	NA	g47	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	27	8	2001	human	veh	r	52.041135	-4.3094931	1000	19.82484076
gower	NA	g470	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	ad	18	7	2007	human	veh	r	51.587422	-4.1940091	1000	10.37022293
gower	NA	g471	owl	Tytonidae	Tyto alba	barn owl	m	ad	8	8	2007	human	attack	d	51.60672	-4.171832	1000	8.300159236
gower	NA	g472	owl	Strigidae	Strix aluco	tawny owl	NA	juv	12	8	2007	human	veh	r	51.522344	-3.3922978	1000	44.36703822
gower	NA	g473	raptor	Accipitridae	Buteo buteo	buzzard	f	ad	16	8	2007	unknown	undet	d	51.85745	-4.1316088	1000	1.313694268
gower	NA	g475	owl	Strigidae	Strix aluco	tawny owl	NA	ad	23	8	2007	human	veh	d	51.855876	-4.3101562	1000	76.77149682
gower	NA	g476	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	juv	27	8	2007	unknown	undet	d	51.758728	-4.2182464	1000	33.61863057
gower	NA	g477	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	3	9	2007	unknown	trauma	d	52.221539	-3.6936872	1000	0
gower	NA	g479	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	juv	9	9	2007	human	build	r	51.620699	-3.9384669	1000	84.33519108
gower	NA	g48	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	29	8	2001	unknown	trauma	d	51.680818	-3.7761308	1000	46.73566879
gower	NA	g480	owl	Tytonidae	Tyto alba	barn owl	NA	juv	14	9	2007	unknown	trauma	d	51.678838	-4.1622636	1000	93.15286624
gower	NA	g483	owl	Strigidae	Strix aluco	tawny owl	NA	juv	18	9	2007	human	veh	r	51.651077	-3.0290892	1000	83.30015924
